Year_1,Seed_1,Team_1,ADJOE_1,ADJDE_1,BARTHAG_1,Record_1,Wins_1,Games_1,EFG%_1,EFGD%_1,FTR_1,FTRD_1,TOR_1,TORD_1,ORB_1,DRB_1,,2P%_1,2P%D_1,3P%_1,3P%D_1,,,ASTR_1,ASTRD_1,3PR_1,3PRD_1,ADJT_1,,,,,,,,SOS_1,,,Losses_1,Year_2,Seed_2,Team_2,ADJOE_2,ADJDE_2,BARTHAG_2,Record_2,Wins_2,Games_2,EFG%_2,EFGD%_2,FTR_2,FTRD_2,TOR_2,TORD_2,ORB_2,DRB_2,,2P%_2,2P%D_2,3P%_2,3P%D_2,,,ASTR_2,ASTRD_2,3PR_2,3PRD_2,ADJT_2,,,,,,,,SOS_2,,,Losses_2
,,Wisconsin,119.9360465,98.88426583,0.9019956636,22–13,22,35,52.4,52.2,33.5,33.2,14.6,16.9,30.5,24.5,65.8,52.6,50.4,34.8,37.1,4.5,10.7,47.7,47.2,35.4,34.4,65.9,,,,2024,,,,3.147913844,75.9,72.5,,,,James Madison,112.0145525,100.6875215,0.7731141352,30–3,30,33,54.4,46.7,34.2,35.1,14.7,19.8,32,27.6,71.1,54.2,48.8,36.5,28.6,7.6,8.9,54.3,42,38.1,35.1,70.8,,,,2024,,,,1.457710408,70.5,73.1,3
,,Duke,120.3992921,97.19789385,0.9214159649,24–8,24,32,55.2,49,33.8,27.6,14.3,16.9,31.8,25.9,67.8,54.4,49.1,37.7,32.6,9.8,11.8,53.8,50.7,37.4,35.5,67.9,,,,2024,,,,3.147711572,72.2,69,,,,Vermont,105.4991683,99.82911562,0.6536894953,26–6,26,32,51.8,46.7,29.7,25.9,13.8,15.1,22.4,23.3,65.6,53.1,46.4,33.5,31.5,10.9,10.6,52.1,43.2,44.1,36.5,64.3,,,,2024,,,,-1.247062143,72.3,72.5,6
,,Texas Tech,117.4053133,98.88022497,0.8781271703,23–10,23,33,52.8,49.1,34.6,26.6,16.5,17,30.2,30.3,67.2,51.5,49.6,36.5,32.1,7,10.1,55.9,46.8,41.1,39,67.4,,,,2024,,,,3.147324548,77.8,71,,,,North Carolina St.,113.3400028,101.1108405,0.7880164922,22–14,22,36,50.7,50.5,32.5,31.9,13.7,17.9,28.6,29.3,68.9,50.1,49.5,34.6,34.9,9.3,7.7,46.1,48.4,33.5,35.3,68.9,,,,2024,,,,-0.833214402,73.4,73.2,14
,,Kentucky,122.5915684,102.2153102,0.8899698245,23–9,23,32,57.4,49.5,30.4,33.4,14.2,16,28.9,30.2,74.1,54.7,49.8,41.2,32.6,16.1,8.9,54.6,51.9,37.3,39.9,73.5,,,,2024,,,,2.737255785,77.3,72,,,,Oakland,108.0587556,105.013991,0.5814399956,23–11,23,34,52.1,50.6,30.9,26.8,16.2,16.3,30.6,28.6,68.2,51.8,50.5,35.1,33.9,7.9,8,53.3,62.4,40.8,40.7,67.8,,,,2024,,,,-4.24304455,75.8,73.5,11
,,Florida,119.3790732,99.54555306,0.8898704451,24–11,24,35,51.5,48.8,38.6,34.2,15.8,14.5,37.5,28.9,73,51.7,49,34.2,32.2,12.1,9.6,50.2,41,34.5,32.7,72.6,,,,2024,,,,2.790263031,71.2,70.6,,,,Boise St.,113.6182991,97.33042203,0.8556263707,20–10,20,30,51.6,49.8,36.1,33.1,16.5,16.8,32.5,23.1,66.6,51.2,52.1,34.8,30.6,6.9,11.3,46.9,47.5,39.8,36.9,67.6,,,,2024,,,,1.012355978,74,72.2,10
,,Marquette,118.0976818,94.5661484,0.9279383968,25–9,25,34,55.1,49.7,25.6,28.2,14.3,21.1,26,30.8,69.3,56,49.2,35.8,33.6,9.8,8.4,54.3,59.2,40.5,43.1,70.1,,,,2024,,,,6.160282593,71.5,75.3,,,,Western Kentucky,104.5280613,101.3783404,0.5870673799,19–11,19,30,51.9,48.3,32.9,33.4,18.3,18.6,28.5,26.7,75.4,52.1,48.3,34.4,32.2,8.5,9.7,44.5,48.1,31,40.1,76,,,,2024,,,,-6.579844832,71.9,68.5,11
,,North Carolina,116.9841415,93.4906921,0.9294341581,27–7,27,34,51.3,46.4,36.8,28.3,14.4,14.9,32.8,23.5,71.4,50.3,46,35.4,31.4,10.2,9.6,51.5,40.6,35.9,36.1,71.4,,,,2024,,,,6.352430723,75.4,74.4,,,,Wagner,95.12216406,105.549369,0.2321531319,14–15,14,29,44.6,48.4,26.8,29.9,15.9,17,29.5,27,62.6,42.8,50.9,31.6,29.9,7.1,9.7,54.9,59.2,38.2,41.2,62.3,,,,2024,,,,-11.71127474,70.7,67.7,15
,,Mississippi St.,112.4190692,94.81131452,0.8764209495,21–13,21,34,51.7,47.7,37.9,32.4,18.7,18.2,35.4,27.6,68.9,53.4,50.2,32.5,29.4,9.1,10.6,52.8,48.3,38.2,41.1,68.1,,,,2024,,,,0.7011313853,67.2,75.1,,,,Michigan St.,113.5878124,93.30377121,0.9057002967,19–14,19,33,51.5,48,29.9,32.6,14.7,18.7,29.9,28.7,66.4,50.5,47.1,35.9,32.8,12,7.7,60,54.9,30.2,41.3,66.3,,,,2024,,,,0.09731736636,70.6,71.4,14
,,Saint Mary's,114.9860899,93.44132378,0.9157527896,25–7,25,32,53.1,45.1,28.3,32.2,16,16.7,39,22.4,63.3,53,43.6,35.5,32.4,10.1,7.4,58.3,47.7,36.7,29,63.1,,,,2024,,,,1.467801243,67.4,71.1,,,,Grand Canyon,111.4225233,100.0839861,0.7745489257,28–4,28,32,52,45.9,45.3,34.8,17.8,19.9,34.6,29.6,69.3,52.3,44.4,34.4,32.6,13.5,7.1,45.2,48,36.1,33.6,69,,,,2024,,,,1.372363064,75.3,70.8,4
,,Alabama,125.5266719,101.4544199,0.9204479718,21–11,21,32,56.3,49.9,35.2,39.6,16,15.6,34.9,29.9,74.2,57.6,51.1,36.5,31.9,10.2,12.5,51.5,45.1,46.8,36.7,73.5,,,,2024,,,,3.30460552,78.4,74.3,,,,College of Charleston,112.9270128,105.4843173,0.6865551803,26–7,26,33,52.4,50.6,26.9,28.3,14.3,16.4,33.5,26.6,69.7,52.6,50.5,34.8,33.8,8.2,10,53.6,42.8,47.1,36.9,70.9,,,,2024,,,,-1.642554378,72.2,70.6,7
